Filename,TotalFrames,Rows,Columns
\Back\JYNX.png,107,10,11
\Back\KABUTO.png,67,8,9
\Back\KABUTOPS.png,47,7,7
\Back\KADABRA.png,121,11,11
\Back\KADABRA_female.png,121,11,11
\Back\KAKUNA.png,79,9,9
\Back\KANGASKHAN.png,253,16,16
\Back\KANGASKHAN_1.png,1,1,1
\Back\KARRABLAST.png,175,13,14
\Back\KARTANA.png,1,1,1
\Back\KECLEON.png,86,9,10
\Back\KELDEO.png,145,12,13
\Back\KELDEO_1.png,100,10,10
\Back\KINGDRA.png,54,7,8
\Back\KINGLER.png,97,10,10
\Back\KIRLIA.png,101,10,11
\Back\KLANG.png,171,13,14
\Back\KLEFKI.png,98,10,10
\Back\KLINK.png,107,10,11
\Back\KLINKLANG.png,171,13,14
\Back\KOFFING.png,87,9,10
\Back\KOMALA.png,1,1,1
\Back\KOMMOO.png,1,1,1
\Back\KRABBY.png,73,9,9
\Back\KRICKETOT.png,149,12,13
\Back\KRICKETOT_female.png,149,12,13
\Back\KRICKETUNE.png,101,10,11
\Back\KRICKETUNE_female.png,101,10,11
\Back\KROKOROK.png,120,11,11
\Back\KROOKODILE.png,123,11,12
\Back\KYOGRE.png,243,16,16
\Back\KYOGRE_1.png,1,1,1
\Back\KYUREM.png,113,11,11
\Back\KYUREM_1.png,357,19,19
\Back\KYUREM_2.png,173,13,14
\Back\LAIRON.png,110,10,11
\Back\LAMPENT.png,131,11,12
\Back\LANDORUS.png,191,14,14
\Back\LANDORUS_1.png,305,17,18
\Back\LANTURN.png,126,11,12
\Back\LAPRAS.png,65,8,9
\Back\LARVESTA.png,117,11,11
\Back\LARVITAR.png,86,9,10
\Back\LATIAS.png,107,10,11
\Back\LATIAS_1.png,1,1,1
\Back\LATIOS.png,76,9,9
\Back\LATIOS_1.png,1,1,1
\Back\LEAFEON.png,137,12,12
\Back\LEAVANNY.png,99,10,10
\Back\LEDIAN.png,40,6,7
\Back\LEDIAN_female.png,40,6,7
\Back\LEDYBA.png,97,10,10
\Back\LEDYBA_female.png,97,10,10
\Back\LICKILICKY.png,131,11,12
\Back\LICKITUNG.png,72,8,9
\Back\LIEPARD.png,123,11,12
\Back\LILEEP.png,141,12,12
\Back\LILLIGANT.png,116,11,11
\Back\LILLIPUP.png,127,11,12
\Back\LINOONE.png,113,11,11
\Back\LITLEO.png,1,1,1
\Back\LITTEN.png,1,1,1
\Back\LITWICK.png,155,12,13
\Back\LOMBRE.png,85,9,10
\Back\LOPUNNY.png,105,10,11
\Back\LOPUNNY_1.png,1,1,1
\Back\LOTAD.png,115,11,11
\Back\LOUDRED.png,115,11,11
\Back\LUCARIO.png,143,12,12
\Back\LUCARIO_1.png,72,8,9
\Back\LUDICOLO.png,83,9,10
\Back\LUDICOLO_female.png,83,9,10
\Back\LUGIA.png,120,11,11
\Back\LUMINEON.png,171,13,14
\Back\LUMINEON_female.png,171,13,14
\Back\LUNALA.png,1,1,1
\Back\LUNATONE.png,167,13,13
\Back\LURANTIS.png,1,1,1
\Back\LUVDISC.png,92,10,10
\Back\LUXIO.png,192,14,14
\Back\LUXIO_female.png,192,14,14
\Back\LUXRAY.png,171,13,14
\Back\LUXRAY_female.png,171,13,14
\Back\LYCANROC.png,1,1,1
\Back\LYCANROC_1.png,1,1,1
\Back\MACHAMP.png,59,8,8
\Back\MACHOKE.png,95,10,10
\Back\MACHOP.png,149,12,13
\Back\MAGBY.png,67,8,9
\Back\MAGCARGO.png,63,8,8
\Back\MAGEARNA.png,1,1,1
\Back\MAGEARNA_1.png,1,1,1
\Back\MAGIKARP.png,117,11,11
\Back\MAGIKARP_female.png,117,11,11
